Rank,Dish Name,Frequency (Votes),Consensus (Popularity %)
306,saag aur palak,2,1.77%
307,makhandi halwa,2,1.77%
308,kaddu,2,1.77%
309,fish cutlets,2,1.77%
310,kofta in palak gravy,2,1.77%
311,fish with rice,2,1.77%
312,dum pukht chicken,2,1.77%
313,fish korma,2,1.77%
314,mutton kaleji,2,1.77%
315,chicken schezwan rice,2,1.77%
316,gosht rice,2,1.77%
317,prawns,2,1.77%
318,roast fish,2,1.77%
319,steam chicken,2,1.77%
320,tarkay walay chawal,2,1.77%
321,international chicken,2,1.77%
322,paneer makhani,2,1.77%
323,badami chicken,2,1.77%
324,sabziyon ka achar,2,1.77%
325,chicken gravy,2,1.77%
326,puri,2,1.77%
327,afghani namkeen gosht,2,1.77%
328,punjabi salad,2,1.77%
329,kashmiri kofta,2,1.77%
330,malai kofta,2,1.77%
331,peshawari namkeen gosht,2,1.77%
332,gajrela kheer,2,1.77%
333,breaded chicken,2,1.77%
334,peshawari karahi chicken,2,1.77%
335,biryani and pulao,2,1.77%
336,mutton keema,2,1.77%
337,shinwari chicken,2,1.77%
338,beef raan,2,1.77%
339,beef roast,2,1.77%
340,chicken chawal,2,1.77%
341,white chicken,2,1.77%
342,vegetable soup,2,1.77%
343,gosht ke kofte,2,1.77%
344,fish masala,2,1.77%
345,mutton roast,2,1.77%
346,lahori chana,2,1.77%
347,mutton kofta curry,2,1.77%
348,moong ki dal palak,2,1.77%
349,chicken cutlets,2,1.77%
350,barbecue chicken,2,1.77%
351,beef champ,2,1.77%
352,persian biryani,2,1.77%
353,fish kofta,2,1.77%
354,fish soup,2,1.77%
355,aloo baingan ki sabzi,2,1.77%
356,mushroom dish,2,1.77%
357,doodh patti chai,2,1.77%
358,sindhi lamb biryani,2,1.77%
359,mutanjan,2,1.77%
360,chicken pilau,2,1.77%
361,mutton yakhni pulao,2,1.77%
362,kaleji,2,1.77%
363,kahwa,2,1.77%
364,lab-e-shireen,2,1.77%
365,patisa,2,1.77%
366,kalakand,2,1.77%
367,gola ganda,2,1.77%
368,aloo chaat,2,1.77%
369,fish fry,2,1.77%
370,masoor ki daal,2,1.77%
371,kaali daal,2,1.77%
372,russian salad,2,1.77%
373,green salad,2,1.77%
374,finger fish,2,1.77%
375,lahori chargha,2,1.77%
376,chicken tikka boti,2,1.77%
377,brain masala,2,1.77%
378,kalonji naan,2,1.77%
379,mughlai handi,2,1.77%
380,mixed vegetable curry,2,1.77%
381,tandoori chicken,2,1.77%
382,lamb pulao,2,1.77%
383,kabuli palaw,2,1.77%
384,mutton handi,2,1.77%
385,charsi tikka,2,1.77%
386,nehari,2,1.77%
387,namkeen gosht,2,1.77%
388,malai kulfi,2,1.77%
389,halva,2,1.77%
390,yakhni pulao,2,1.77%
391,royal whole stuffed lamb,2,1.77%
392,pink kashmiri chai,2,1.77%
393,mughlai beef qorma,2,1.77%
394,mughlai shami kabab,2,1.77%
395,seasonal mixed vegetable medley,2,1.77%
396,rich lotus seed halwa,2,1.77%
397,mini kachori,2,1.77%
398,bottle gourd halwa,2,1.77%
399,chenak-style spiced tea,2,1.77%
400,fish and chips,2,1.77%
401,lebanese chicken boti,2,1.77%
402,chicken yakhni pulao,2,1.77%
403,slow-cooked beef haleem,2,1.77%
404,crunchy kulfi falooda,2,1.77%
405,spicy aloo bhujia,2,1.77%
406,balochi sajji roast,2,1.77%
407,cottage cheese in creamed spinach,2,1.77%
408,creamy doodh dulari,2,1.77%
409,signature mutton chops,2,1.77%
410,frontier-style chapli kabab,2,1.77%
411,tempered yellow lentils,2,1.77%
412,bbq fish tikka,2,1.77%
413,classic prawn sizzlers,2,1.77%
414,traditional mutton karahi,2,1.77%
415,whole pomfret fry,2,1.77%
416,white chicken qorma,2,1.77%
417,prawn tempura,2,1.77%
418,spiced paneer karahi,2,1.77%
419,spinach and potato curry,2,1.77%
420,pathan-style chai,2,1.77%
421,aromatic vegetable biryani,2,1.77%
422,mustard greens with corn roti,2,1.77%
423,royal mutton pulao,2,1.77%
424,spiced potato bhujia,2,1.77%
425,lab-e-shireen delight,2,1.77%
426,handi-style creamy chicken,2,1.77%
427,cherry crunch dessert,2,1.77%
428,golden gulab jamun,2,1.77%
429,golden fish fingers,2,1.77%
430,mini samosas,2,1.77%
431,bbq-grilled beef boti,2,1.77%
432,creamy malai kofta curry,2,1.77%
433,chicken spring rolls,2,1.77%
434,signature chicken karahi,2,1.77%
435,royal rice kheer,2,1.77%
436,veggie spring rolls,2,1.77%
437,traditional delhi-style mutton qorma,2,1.77%
438,mutton bombay biryani royale,2,1.77%
439,flaky chicken puff pastries,2,1.77%
440,creamy handi mutton,2,1.77%
441,stuffed chicken kiev,2,1.77%
442,mughlai gola kabab,2,1.77%
443,chicken bombay biryani,2,1.77%
444,chicken shawarma wraps,2,1.77%
445,cheese-filled samosas,2,1.77%
446,classic beef seekh kabab,2,1.77%
447,beef tawa kabab,2,1.77%
448,choco-biscuit fusion,2,1.77%
449,green pea pulao,2,1.77%
450,mini bun kabab sliders,2,1.77%
451,chicken dynamite bites,2,1.77%
452,rustic mutton kunna curry,2,1.77%
453,falooda fusion shake,2,1.77%
454,sweet kashmiri pulao,2,1.77%
455,chicken croquettes,2,1.77%
456,spiced behari strip kabab,2,1.77%
457,pumpkin halwa,2,1.77%
458,basmati rice,2,1.77%
459,yakhni,2,1.77%
460,murgh tikka,2,1.77%
461,siri-payay,2,1.77%
462,bannu pulao,2,1.77%
463,maakai ki roti,2,1.77%
464,bong,2,1.77%
465,mango lassi,2,1.77%
466,vegetable biryani,2,1.77%
467,mutton chops,2,1.77%
468,murgh cholay,2,1.77%
469,rogan josh,2,1.77%
470,papar,2,1.77%
471,tikka boti,2,1.77%
472,sohbat,2,1.77%
473,mumtu,2,1.77%
474,thukpa,2,1.77%
475,daal pakwan,2,1.77%
476,murgh pulao,2,1.77%
477,tandoori paratha,2,1.77%
478,aloo paratha,2,1.77%
479,taka tak,2,1.77%
480,beef seekh kabab,2,1.77%
481,zeera aloo,2,1.77%
482,aloo gobi dry,2,1.77%
483,namak paray,2,1.77%
484,palak curry,2,1.77%
485,aloo masala,2,1.77%
486,kala chana,2,1.77%
487,achari bhindi,2,1.77%
488,samosa chat,2,1.77%
489,shabdeg,2,1.77%
490,chicken chapli kabab,2,1.77%
491,landhi,2,1.77%
492,achar,2,1.77%
493,murgh lahori,2,1.77%
494,paneer lahori,2,1.77%
495,chana,2,1.77%
496,balushahi,2,1.77%
497,hoi lo garma,2,1.77%
498,mutton and beef bbq,2,1.77%
499,keema naan,2,1.77%
500,paratha rolls,2,1.77%
501,chicken dahi,2,1.77%
502,mix platter b.b.q-2,2,1.77%
503,maash ki dal,2,1.77%
504,chana dal,2,1.77%
505,boneless chicken karahi,2,1.77%
506,chapati,2,1.77%
507,khadi kabab,2,1.77%
508,indian chinese chicken fried rice,2,1.77%
509,chicken karahi qeema,2,1.77%
510,dal gosht,2,1.77%
511,prawn karhai,2,1.77%
512,kaari chawal,2,1.77%
513,gurdh waly chawal,2,1.77%
514,luki ka halwa,2,1.77%
515,kofty anday,2,1.77%
516,reshmi kebab,2,1.77%
517,mutton gola kabab,2,1.77%
518,spice bazaar mix grill -2,2,1.77%
519,bhari hui mirchon ka saalan,1,0.88%
520,dal chana,1,0.88%
521,chinese soup,1,0.88%
522,khattay aloo,1,0.88%
523,spaghetti,1,0.88%
524,kids soup,1,0.88%
525,stuffed bhindi,1,0.88%
526,keema karela,1,0.88%
527,kfc fried chicken,1,0.88%
528,dry aloo recipe,1,0.88%
529,shalgam recipe,1,0.88%
530,beef salad,1,0.88%
531,khatta meetha baingan ka bharta,1,0.88%
532,palak kofta,1,0.88%
533,stuffed baingan,1,0.88%
534,palak saag,1,0.88%
535,manchurian,1,0.88%
536,aloo matar keema,1,0.88%
537,puff,1,0.88%
538,paneer matar masala,1,0.88%
539,bhindi recipe,1,0.88%
540,shashlik,1,0.88%
541,shimla mirch recipe,1,0.88%
542,pie,1,0.88%
543,bhindi do pyaza,1,0.88%
544,baingan ka bhurta,1,0.88%
545,sandwich,1,0.88%
546,aloo gobi masala,1,0.88%
547,aalo pyaaz timatar ki sabzi,1,0.88%
548,aloo ki kachoriyan,1,0.88%
549,shimla mirch gravy,1,0.88%
550,cutlets,1,0.88%
551,bhindi recipes with gravy,1,0.88%
552,saag recipe,1,0.88%
553,palaak aur cheez ke koftay,1,0.88%
554,quick sarson ka saag,1,0.88%
555,punjabi dry aloo sabzi,1,0.88%
556,lauki curry,1,0.88%
557,keema bhari shimla mirch,1,0.88%
558,hot and sour soup,1,0.88%
559,keema stuffed capsicum,1,0.88%
560,shimla mirch keema,1,0.88%
561,aloo masala curry,1,0.88%
562,macaroni,1,0.88%
563,aloo jeera,1,0.88%
564,burgers,1,0.88%
565,aloo masala gravy,1,0.88%
566,beef soup,1,0.88%
567,keema aloo,1,0.88%
568,aloo gravy,1,0.88%
569,mughlai aloo matar,1,0.88%
570,bhari hoi bhindiya,1,0.88%
571,spicy ladyfingers,1,0.88%
572,seafood salad,1,0.88%
573,anday aloo ka salan,1,0.88%
574,lauki ki sabzi,1,0.88%
575,aloo ke salad,1,0.88%
576,shawarma,1,0.88%
577,vegetable stew,1,0.88%
578,sabzi mix,1,0.88%
579,brinjal gravy,1,0.88%
580,sabziyon k chapli kabab,1,0.88%
581,aloo matar paneer,1,0.88%
582,palak daal,1,0.88%
583,lauki bahar,1,0.88%
584,palak cauliflower chicken,1,0.88%
585,pasta,1,0.88%
586,aloo masala for dosa,1,0.88%
587,corn soup,1,0.88%
588,gehya recipe,1,0.88%
589,aloo gobi matar,1,0.88%
590,sabzion ki karahi,1,0.88%
591,mooli ki bhujia,1,0.88%
592,mutton soup,1,0.88%
593,drum sticks,1,0.88%
594,brinjal fry,1,0.88%
595,aloo matar gobi,1,0.88%
596,bombay mix chicken sabzi,1,0.88%
597,kabab karahi,1,0.88%
598,dam pukh bakra,1,0.88%
599,namkeen mutten karahi,1,0.88%
600,lahori karahi,1,0.88%
601,potato curry,1,0.88%
602,aloo shimla mirch,1,0.88%
603,achari aloo,1,0.88%
604,aloo chana masala,1,0.88%
605,bhindi ki sabzi,1,0.88%
606,chana palak,1,0.88%
607,soya aloo,1,0.88%
608,chholay palak,1,0.88%
609,poori aloo,1,0.88%
610,sabzi raita,1,0.88%
611,aalu shorba,1,0.88%
612,aloo gajar,1,0.88%
613,handi,1,0.88%
614,goat haleem,1,0.88%
615,multani sohan halwa,1,0.88%
616,karachi haleem,1,0.88%
617,khushab dhoda,1,0.88%
618,kacha golla,1,0.88%
619,joqes,1,0.88%
620,gittey,1,0.88%
621,mamtu,1,0.88%
622,peshawari kebab,1,0.88%
623,bali soup,1,0.88%
624,murgh balti,1,0.88%
625,vegetable samosa,1,0.88%
626,jhinga masala,1,0.88%
627,bakray ki champ,1,0.88%
628,mulligatawny,1,0.88%
629,murgh malai kabab,1,0.88%
630,zafrani malai boti,1,0.88%
631,jhinga til tinka,1,0.88%
632,paneer pakora,1,0.88%
633,the pakistani platter,1,0.88%
634,tawa fry machhli,1,0.88%
635,murgh masala yakhni,1,0.88%
636,paneer tikka,1,0.88%
637,chicken ginger masala,1,0.88%
638,machhli tikka,1,0.88%
639,bbq boti,1,0.88%
640,tawa hara piyaz qeema,1,0.88%
641,chicken khopra soup,1,0.88%
642,jhinga seekh,1,0.88%
643,kadin kebab,1,0.88%
644,roast mutton,1,0.88%
645,chicken paratha rolls,1,0.88%
646,rosh,1,0.88%
647,chola chaat,1,0.88%
648,chicken reshmi handi,1,0.88%
649,singaporean rice,1,0.88%
650,sabzi,1,0.88%
651,khowsuey,1,0.88%
652,chutney,1,0.88%
653,bhuna salan,1,0.88%
654,chinese gosht,1,0.88%
655,gajrela with khoya,1,0.88%
656,bbq fish,1,0.88%
657,punjabi biryani,1,0.88%
658,punjabi breakfast,1,0.88%
659,jheenga and prawns,1,0.88%
660,meethe chawal,1,0.88%
661,fried gosht recipes,1,0.88%
662,chinese food,1,0.88%
663,chinese beef,1,0.88%
664,beef nihari,1,0.88%
665,beef korma,1,0.88%
666,beef chili dry,1,0.88%
667,bbq beef bites,1,0.88%
668,boondi,1,0.88%
669,chopshoro,1,0.88%
670,garma,1,0.88%
671,kachumber salad,1,0.88%
672,pilau,1,0.88%
673,yakhni pilau,1,0.88%
674,peas pilau,1,0.88%
675,prawn pilau biryani,1,0.88%
676,green tea,1,0.88%
677,mutton chanay,1,0.88%
678,pakistani bbq,1,0.88%
679,pasandon ka korma,1,0.88%
680,punjabi malai kofta,1,0.88%
681,fried gosht,1,0.88%
682,koftay aur maash ki daal,1,0.88%
683,handi pasanday,1,0.88%
684,dosa,1,0.88%
685,chicken palak paneer,1,0.88%
686,murgh dal chana curry,1,0.88%
687,lal qila haleem,1,0.88%
688,peshawari chana masala,1,0.88%
689,daal murgh,1,0.88%
690,pakistani chicken biryani,1,0.88%
691,hara masala anday cholay,1,0.88%
692,kari,1,0.88%
693,white pasanda karahi,1,0.88%
694,tea,1,0.88%
695,pakistani keema,1,0.88%
696,hyderabadi meethi dal,1,0.88%
697,chatpati haleem,1,0.88%
698,kaju pasande,1,0.88%
699,gola kabab karahi,1,0.88%
700,peshawari tikka,1,0.88%
701,different chicken,1,0.88%
702,fish bbq,1,0.88%
703,dal gosht gravy,1,0.88%
704,egg,1,0.88%
705,chole samose,1,0.88%
706,avocado in pakistan taste,1,0.88%
707,sabzi kabab,1,0.88%
708,badami pasanda,1,0.88%
709,kaleji maghaz fry,1,0.88%
710,dal anday wala bun kabab,1,0.88%
711,khasta kachori,1,0.88%
712,shahi chicken korma,1,0.88%
713,kachori,1,0.88%
714,fry keema,1,0.88%
715,kacha keema kabab,1,0.88%
716,tawa gola kabab,1,0.88%
717,pyaz ke pakoray,1,0.88%
718,eid wali kachori,1,0.88%
719,laccha pakora,1,0.88%
720,kulfa,1,0.88%
721,karachi halwa,1,0.88%
722,sohan papdi,1,0.88%
723,shikanjabeen,1,0.88%
724,shikanjvi,1,0.88%
725,chicken boti,1,0.88%
726,kebab paratha,1,0.88%
727,tandoori naan,1,0.88%
728,pakistani style kali dal,1,0.88%
729,mooli,1,0.88%
730,paan,1,0.88%
731,kashmoor salad,1,0.88%
732,dal mix fry,1,0.88%
733,pakistani trotters curry,1,0.88%
734,mutton shanwari,1,0.88%
735,anda kofta,1,0.88%
736,pakistani kalmi tikka,1,0.88%
737,pakistani mix grill,1,0.88%
738,mutton boti,1,0.88%
739,aloo chicken,1,0.88%
740,chicken tikka piece,1,0.88%
741,dal mash fry,1,0.88%
742,aloo arbi,1,0.88%
743,mutton paya,1,0.88%
744,beak karahi,1,0.88%
745,aloo begin,1,0.88%
746,mutton white,1,0.88%
747,vegetable mix,1,0.88%
748,dal channa fry,1,0.88%
749,aloo anda,1,0.88%
750,shahi daal,1,0.88%
751,mix veg pulao,1,0.88%
752,garlic naan,1,0.88%
753,mutton dum pukh,1,0.88%
754,chicken 65,1,0.88%
755,tandoori champ masala gravy,1,0.88%
756,kabab masala,1,0.88%
757,masala kaleji,1,0.88%
758,hyderabadi khatti daal with gosht,1,0.88%
759,rezala chicken,1,0.88%
760,afghani keema,1,0.88%
761,kalmi tikka,1,0.88%
762,kali mirch mutton karahi,1,0.88%
763,karelay gosht,1,0.88%
764,hunzai handi,1,0.88%
765,smoky tandoori chicken biryani,1,0.88%
766,mutton do pyaza,1,0.88%
767,shaljam gosht,1,0.88%
768,daal chana pulao,1,0.88%
769,kadhi phulki,1,0.88%
770,masala bhindi fry,1,0.88%
771,panjeeri,1,0.88%
772,saag paneer,1,0.88%
773,ishto,1,0.88%
774,goat and bell pepper curry,1,0.88%
775,yakhni chicken pulao,1,0.88%
776,matar paneer,1,0.88%
777,panjiri,1,0.88%
778,chicken mayo sandwich,1,0.88%
779,beef curry,1,0.88%
780,chicken manchurian,1,0.88%
781,beef kofta curry,1,0.88%
782,rajma masala,1,0.88%
783,goat korma,1,0.88%
784,torai ki sabzi,1,0.88%
785,istu,1,0.88%
786,goat pulao,1,0.88%
787,toriyan,1,0.88%
788,bhindi fry,1,0.88%
789,vegetable raita,1,0.88%
790,fried rice,1,0.88%
791,keema samosa,1,0.88%
792,chilli chicken,1,0.88%
793,lamb korma,1,0.88%
794,chicken shashlik,1,0.88%
795,keema curry,1,0.88%
796,shinwari lamb karahi,1,0.88%
797,rice haleem,1,0.88%
798,shinwari mutton karahi,1,0.88%
799,lamb handi,1,0.88%
800,curries,1,0.88%
801,buttering doudo,1,0.88%
802,molida,1,0.88%
803,buroshapik/ghilmindi,1,0.88%
804,gyaling/gral,1,0.88%
805,tumoro tea,1,0.88%
806,naran style fried trout,1,0.88%
807,anarkali ka falooda,1,0.88%
808,channae,1,0.88%
809,hunzai cuisine,1,0.88%
810,hui garma,1,0.88%
811,kpk cuisine,1,0.88%
812,dumplings,1,0.88%
813,lentils,1,0.88%
814,hunzai street food,1,0.88%
815,hunzai breakfast,1,0.88%
816,hunzai pancakes,1,0.88%
817,makki ki roti tart,1,0.88%
818,keema paratha,1,0.88%
819,missi roti,1,0.88%
820,palak pakora,1,0.88%
821,beef boti kebab,1,0.88%
822,charsi karahi,1,0.88%
823,peach chutney,1,0.88%
824,lahori fish,1,0.88%
825,spinach pakora,1,0.88%
826,paya soup,1,0.88%
827,kaak,1,0.88%
828,special qorma,1,0.88%
829,samosa shots,1,0.88%
830,tandoori bbq platters,1,0.88%
831,milk barfi,1,0.88%
832,almond cake,1,0.88%
833,chicken methi qeema,1,0.88%
834,white chicken curry,1,0.88%
835,chicken qeema,1,0.88%
836,baingan gosht,1,0.88%
837,bhuna gosht masala,1,0.88%
838,bhuna chana masala,1,0.88%
839,punjabi prawn masala curry,1,0.88%
840,egg halwa,1,0.88%
841,pabda fish bhuna curry,1,0.88%
842,achari aloo ki bhujia,1,0.88%
843,phali gosht,1,0.88%
844,hariyali chicken,1,0.88%
845,tadka dal,1,0.88%
846,leftover rice kheer,1,0.88%
847,cholay,1,0.88%
848,chicken bhuna masala,1,0.88%
849,pakistani karahi keema,1,0.88%
850,pakistani kofta curry,1,0.88%
851,aloo chana curry,1,0.88%
852,vegetable fried rice,1,0.88%
853,coconut rice pilaf,1,0.88%
854,beef rice bowl,1,0.88%
855,saffron infused pulao,1,0.88%
856,lentil biryani,1,0.88%
857,mushroom rice casserole,1,0.88%
858,sagudana kheer,1,0.88%
859,sewaiyan,1,0.88%
860,pilaf,1,0.88%
861,spiced malaysian rice bowl,1,0.88%
